,PassengerId,Survived,Age Bracket,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
0,2,1,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38.0,1,0,PC 17599,71.2833,C85,C
1,4,1,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803,53.1,C123,S
2,7,0,2,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463,51.8625,E46,S
3,11,1,0,3,"Sandstrom, Miss. Marguerite Rut",female,4.0,1,1,PP 9549,16.7,G6,S
4,12,1,2,1,"Bonnell, Miss. Elizabeth",female,58.0,0,0,113783,26.55,C103,S
5,22,1,1,2,"Beesley, Mr. Lawrence",male,34.0,0,0,248698,13.0,D56,S
6,24,1,1,1,"Sloper, Mr. William Thompson",male,28.0,0,0,113788,35.5,A6,S
7,53,1,2,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1,0,PC 17572,76.7292,D33,C
8,55,0,3,1,"Ostby, Mr. Engelhart Cornelius",male,65.0,0,1,113509,61.9792,B30,C
9,63,0,2,1,"Harris, Mr. Henry Birkhardt",male,45.0,1,0,36973,83.475,C83,S
10,67,1,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0,0,C.A. 29395,10.5,F33,S
11,76,0,1,3,"Moen, Mr. Sigurd Hansen",male,25.0,0,0,348123,7.65,F G73,S
12,93,0,2,1,"Chaffee, Mr. Herbert Fuller",male,46.0,1,0,W.E.P. 5734,61.175,E31,S
13,98,1,1,1,"Greenfield, Mr. William Bertram",male,23.0,0,1,PC 17759,63.3583,D10 D12,C
14,103,0,1,1,"White, Mr. Richard Frasar",male,21.0,0,1,35281,77.2875,D26,S
15,111,0,2,1,"Porter, Mr. Walter Chamberlain",male,47.0,0,0,110465,52.0,C110,S
16,124,1,1,2,"Webber, Miss. Susan",female,32.5,0,0,27267,13.0,E101,S
17,125,0,2,1,"White, Mr. Percival Wayland",male,54.0,0,1,35281,77.2875,D26,S
18,137,1,0,1,"Newsom, Miss. Helen Monypeny",female,19.0,0,2,11752,26.2833,D47,S
19,138,0,1,1,"Futrelle, Mr. Jacques Heath",male,37.0,1,0,113803,53.1,C123,S
20,140,0,1,1,"Giglio, Mr. Victor",male,24.0,0,0,PC 17593,79.2,B86,C
